Designator,Footprint,Quantity,Value,LCSC Part #
"H1, H9",MountingHole_3.2mm_M3_Pad_TopOnly,2,MountingHole_Pad,
"H10, H6, H7, H8",MountingHole_2.2mm_M2_Pad_TopOnly,4,MountingHole_Pad,
"H2, H3, H4, H5",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,
